/     0     1     2     3     4     5     6     7     8     9     
0   0.0   0.78   1.0   0.88   1.0   1.0   1.0   1.0   1.0   0.96   
1   0.78   0.0   0.92   0.5800000000000001   0.6   0.6799999999999999   0.62   0.92   0.64   0.94   
2   1.0   0.92   0.0   1.0   0.98   0.96   0.8   0.5800000000000001   0.9   0.56   
3   0.88   0.5800000000000001   1.0   0.0   0.5800000000000001   0.62   0.6599999999999999   1.0   0.5800000000000001   1.0   
4   1.0   0.6   0.98   0.5800000000000001   0.0   0.54   0.6   0.98   0.62   1.0   
5   1.0   0.6799999999999999   0.96   0.62   0.54   0.0   0.72   0.94   0.62   0.96   
6   1.0   0.62   0.8   0.6599999999999999   0.6   0.72   0.0   0.84   0.64   0.84   
7   1.0   0.92   0.5800000000000001   1.0   0.98   0.94   0.84   0.0   0.88   0.6   
8   1.0   0.64   0.9   0.5800000000000001   0.62   0.62   0.64   0.88   0.0   0.88   
9   0.96   0.94   0.56   1.0   1.0   0.96   0.84   0.6   0.88   0.0   
