/     1     2     3     4     5     6     7     8     9     10     
1   0.0   0.65   0.61   0.59   0.71   0.6   0.62   0.6   0.61   0.57   
2   0.65   0.0   0.47   0.5   0.46   0.49   0.46   0.67   0.48   0.6   
3   0.61   0.47   0.0   0.49   0.51   0.4   0.46   0.61   0.47   0.55   
4   0.59   0.5   0.49   0.0   0.55   0.51   0.49   0.63   0.5   0.56   
5   0.71   0.46   0.51   0.55   0.0   0.55   0.49   0.72   0.52   0.66   
6   0.6   0.49   0.4   0.51   0.55   0.0   0.48   0.6   0.48   0.54   
7   0.62   0.46   0.46   0.49   0.49   0.48   0.0   0.64   0.47   0.56   
8   0.6   0.67   0.61   0.63   0.72   0.6   0.64   0.0   0.62   0.58   
9   0.61   0.48   0.47   0.5   0.52   0.48   0.47   0.62   0.0   0.56   
10   0.57   0.6   0.55   0.56   0.66   0.54   0.56   0.58   0.56   0.0   
