/     1     2     3     4     5     6     7     8     9     10     
1   0.0   0.94   0.94   0.92   0.96   0.93   0.93   0.89   0.93   0.9   
2   0.94   0.0   0.89   0.91   0.9   0.89   0.89   0.94   0.9   0.93   
3   0.94   0.89   0.0   0.91   0.91   0.83   0.89   0.93   0.9   0.92   
4   0.92   0.91   0.91   0.0   0.93   0.91   0.91   0.94   0.91   0.93   
5   0.96   0.9   0.91   0.93   0.0   0.91   0.91   0.96   0.93   0.95   
6   0.93   0.89   0.83   0.91   0.91   0.0   0.89   0.92   0.9   0.92   
7   0.93   0.89   0.89   0.91   0.91   0.89   0.0   0.93   0.9   0.92   
8   0.89   0.94   0.93   0.94   0.96   0.92   0.93   0.0   0.92   0.9   
9   0.93   0.9   0.9   0.91   0.93   0.9   0.9   0.92   0.0   0.92   
10   0.9   0.93   0.92   0.93   0.95   0.92   0.92   0.9   0.92   0.0   
