Word,Count,TF.IDF
incident,7,0.05343511450381679
sinister,2,0.0265185586895604
comply,6,0.0
breaks,0,0.0
forgotten,2,0.0
precious,0,0.0
compliment,0,0.0
unkempt,0,0.0
lover,1,0.0011603289575958017
plentiful,1,0.007633587786259542
malignant,0,0.0
terrible,0,0.0
rate,0,0.0
mole,0,0.0
assert,0,0.0
lights,2,0.004914932746371944
rage,0,0.0
submitted,0,0.0
ferret,0,0.0
snow,0,0.0
headache,0,0.0
purchasing,0,0.0
termination,1,0.007633587786259542
remarked,2,0.004914932746371944
germans,0,0.0
laughing,0,0.0
michael,2,0.0
darkened,1,0.010091054159445514
relapsed,0,0.0
est,0,0.0
alpha,0,0.0
quitted,0,0.0
4th,0,0.0
irs,1,0.0
california,0,0.0
implored,0,0.0
snapped,0,0.0
bandy,0,0.0
litter,0,0.0
jeremiah,0,0.0
scribbled,0,0.0
blurs,0,0.0
outhouse,0,0.0
wiser,1,0.005625691558520658
rouse,0,0.0
accident,3,0.0034809868727874054
plumped,0,0.0
muscles,0,0.0
locations,2,0.0
beneath,0,0.0
premises,0,0.0
ideas,0,0.0
marshy,0,0.0
silk,0,0.0
speciously,0,0.0
biography,0,0.0
sweet,2,0.0
interposed,0,0.0
attica,0,0.0
eye,14,0.016244605406341223
predominates,0,0.0
striking,0,0.0
simon,0,0.0
indication,0,0.0
wreaths,1,0.007633587786259542
prolong,1,0.010091054159445514
glint,0,0.0
allowed,0,0.0
reference,0,0.0
villages,0,0.0
impressions,0,0.0
stables,0,0.0
secretary,0,0.0
unobserved,0,0.0
vivid,0,0.0
researches,0,0.0
penal,0,0.0
diadem,0,0.0
claspings,0,0.0
straining,0,0.0
swarm,0,0.0
booted,0,0.0
typewriter,0,0.0
shelves,0,0.0
beautiful,1,0.0
silvered,0,0.0
providing,4,0.0
sunday,5,0.005801644787979009
altogether,1,0.0011603289575958017
writing,6,0.0
believing,0,0.0
lasting,0,0.0
baxter,0,0.0
reabsorbed,0,0.0
funny,0,0.0
complying,3,0.0
orgies,0,0.0
meningen,0,0.0
unreasoning,0,0.0
foie,0,0.0
fashion,2,0.0023206579151916033
blotched,0,0.0
planted,0,0.0
alteration,3,0.0
fordham,0,0.0
conviction,0,0.0
monogram,0,0.0
explore,0,0.0
horace,0,0.0
accommodate,0,0.0
tune,0,0.0
killed,1,0.0011603289575958017
cord,0,0.0
cells,0,0.0
astonishment,0,0.0
moods,0,0.0
flitted,0,0.0
divined,0,0.0
brixton,0,0.0
weird,0,0.0
elements,4,0.030534351145038167
londoners,0,0.0
negro,0,0.0
wash,0,0.0
ku,0,0.0
