Word,Count,TF.IDF
incident,0,0.0
sinister,0,0.0
comply,6,0.0
breaks,1,0.0011455182797984076
forgotten,19,0.0
precious,9,0.002510704379537488
compliment,31,0.01979716934068665
unkempt,0,0.0
lover,7,9.220291630115686E-4
plentiful,1,8.665511265164644E-4
malignant,0,0.0
terrible,0,0.0
rate,18,0.0023709321334583196
mole,0,0.0
assert,1,6.386183658286015E-4
lights,1,2.789671532819431E-4
rage,0,0.0
submitted,6,0.005199306759098787
ferret,0,0.0
snow,16,0.010217893853257625
headache,4,0.0034662045060658577
purchasing,1,0.001505169492345066
termination,1,8.665511265164644E-4
remarked,0,0.0
germans,0,0.0
laughing,17,0.004742441605793033
michael,2,0.0
darkened,0,0.0
relapsed,0,0.0
est,0,0.0
alpha,0,0.0
quitted,9,0.01030966451818567
4th,0,0.0
irs,1,0.0
california,0,0.0
implored,0,0.0
snapped,0,0.0
bandy,0,0.0
litter,0,0.0
jeremiah,0,0.0
scribbled,0,0.0
blurs,0,0.0
outhouse,0,0.0
wiser,4,0.002554473463314406
rouse,2,0.003010338984690132
accident,1,1.317184518587955E-4
plumped,0,0.0
muscles,0,0.0
locations,2,0.0
beneath,3,0.0013377118877723356
premises,0,0.0
ideas,16,0.007134463401452455
marshy,0,0.0
silk,0,0.0
speciously,0,0.0
biography,0,0.0
sweet,22,0.0
interposed,1,0.001505169492345066
attica,0,0.0
eye,31,0.004083272007622661
predominates,0,0.0
striking,4,0.0017836158503631138
simon,0,0.0
indication,0,0.0
wreaths,0,0.0
prolong,1,0.0011455182797984076
glint,0,0.0
allowed,40,0.011158686131277724
reference,0,0.0
villages,0,0.0
impressions,0,0.0
stables,2,0.0017331022530329288
secretary,0,0.0
unobserved,0,0.0
vivid,0,0.0
researches,0,0.0
penal,0,0.0
diadem,0,0.0
claspings,0,0.0
straining,0,0.0
swarm,0,0.0
booted,0,0.0
typewriter,0,0.0
shelves,0,0.0
beautiful,24,0.0
silvered,0,0.0
providing,4,0.0
sunday,2,2.63436903717591E-4
altogether,23,0.003029524392752297
writing,17,0.0
believing,3,0.0025996533795493936
lasting,5,0.005727591398992038
baxter,0,0.0
reabsorbed,0,0.0
funny,0,0.0
complying,6,0.0
orgies,0,0.0
meningen,0,0.0
unreasoning,0,0.0
foie,0,0.0
fashion,5,6.585922592939776E-4
blotched,0,0.0
planted,0,0.0
alteration,3,0.0
fordham,0,0.0
conviction,16,0.018328292476774522
