Word,Count,TF.IDF
incident,5,0.004016064257028112
sinister,2,0.0027903061753673996
comply,7,0.0
breaks,5,0.005308948172238402
forgotten,9,0.0
precious,18,0.004654382094757046
compliment,1,5.919402362780773E-4
unkempt,0,0.0
lover,1,1.2209083810847392E-4
plentiful,1,8.032128514056225E-4
malignant,3,0.0041854592630511
terrible,22,0.013022685198117698
rate,18,0.0021976350859525305
mole,3,0.00559500745755991
assert,4,0.002367760945112309
lights,10,0.002585767830420581
rage,10,0.005919402362780772
submitted,1,8.032128514056225E-4
ferret,0,0.0
snow,31,0.018350147324620394
headache,0,0.0
purchasing,1,0.0013951530876836998
termination,1,8.032128514056225E-4
remarked,1,2.585767830420581E-4
germans,3,0.00559500745755991
laughing,4,0.0010343071321682325
michael,3,0.0
darkened,2,0.0021235792688953613
relapsed,0,0.0
est,0,0.0
alpha,0,0.0
quitted,4,0.0042471585377907226
4th,1,0.0018650024858533035
irs,1,0.0
california,0,0.0
implored,0,0.0
snapped,8,0.00642570281124498
bandy,0,0.0
litter,2,0.0021235792688953613
jeremiah,0,0.0
scribbled,0,0.0
blurs,0,0.0
outhouse,0,0.0
wiser,0,0.0
rouse,1,0.0013951530876836998
accident,6,7.325450286508436E-4
plumped,0,0.0
muscles,4,0.007460009943413214
locations,2,0.0
beneath,76,0.031411695690812556
premises,3,0.0041854592630511
ideas,6,0.0024798707124325707
marshy,2,0.003730004971706607
silk,2,0.001606425702811245
speciously,0,0.0
biography,1,0.0018650024858533035
sweet,26,0.0
interposed,2,0.0027903061753673996
attica,0,0.0
eye,88,0.010743993753545704
predominates,0,0.0
striking,24,0.009919482849730283
simon,0,0.0
indication,2,0.003730004971706607
wreaths,0,0.0
prolong,0,0.0
glint,0,0.0
allowed,6,0.001551460698252349
reference,14,0.011244979919678716
villages,4,0.0042471585377907226
impressions,10,0.013951530876836997
stables,0,0.0
secretary,1,0.0010617896344476806
unobserved,3,0.0041854592630511
vivid,9,0.009556106710029126
researches,3,0.0041854592630511
penal,1,0.0018650024858533035
diadem,1,0.0018650024858533035
claspings,0,0.0
straining,7,0.007432527441133765
swarm,0,0.0
booted,0,0.0
typewriter,0,0.0
shelves,1,5.919402362780773E-4
beautiful,8,0.0
silvered,0,0.0
providing,6,0.0
sunday,7,8.546358667593175E-4
altogether,29,0.0035406343051457437
writing,5,0.0
believing,1,8.032128514056225E-4
lasting,1,0.0010617896344476806
baxter,0,0.0
reabsorbed,0,0.0
funny,7,0.004143581653946541
complying,3,0.0
orgies,2,0.0027903061753673996
meningen,0,0.0
unreasoning,3,0.00559500745755991
foie,1,0.0018650024858533035
fashion,11,0.001342999219193213
blotched,0,0.0
planted,14,0.01486505488226753
alteration,1,0.0
fordham,0,0.0
conviction,0,0.0
monogram,0,0.0
explore,0,0.0
horace,0,0.0
accommodate,2,0.0027903061753673996
tune,2,0.0011838804725561546
killed,35,0.004273179333796587
cord,9,0.007228915662650603
cells,3,0.0041854592630511
astonishment,6,0.0024798707124325707
moods,5,0.005308948172238402
flitted,1,0.0010617896344476806
divined,1,0.0013951530876836998
brixton,0,0.0
weird,0,0.0
elements,8,0.00642570281124498
londoners,0,0.0
negro,23,0.032088521016725095
wash,5,0.004016064257028112
ku,0,0.0
concluding,11,0.011679685978924485
side,208,0.0
respects,8,0.00642570281124498
warranties,3,0.0
midst,10,0.005919402362780772
baits,0,0.0
dangerous,13,0.0033614981795467556
beg,3,0.0
panelled,2,0.0027903061753673996
enable,4,0.00321285140562249
bow,44,0.018185718557838848
succeed,4,0.0016532471416217135
housemaid,0,0.0
execution,0,0.0
impetuous,0,0.0
perfection,0,0.0
wanting,11,0.002844344613462639
contemptuous,0,0.0
ascertained,1,0.0013951530876836998
mission,5,0.0
routine,1,0.0010617896344476806
subsided,5,0.004016064257028112
pre,6,0.006370737806686085
poker,1,0.0010617896344476806
imprisonment,0,0.0
measure,15,0.001831362571627109
health,6,0.0024798707124325707
120,2,0.003730004971706607
widow,8,0.004735521890224618
sparkled,0,0.0
scandal,0,0.0
pulling,24,0.006205842793009396
panel,1,0.0018650024858533035
gordon,0,0.0
entreaties,2,0.001606425702811245
retorted,0,0.0
quality,7,0.002893182497837999
trustees,0,0.0
maid,4,4.883633524338957E-4
adapt,0,0.0
klux,0,0.0
vegetables,0,0.0
cruelty,1,4.133117854054284E-4
rolling,35,0.028112449799196786
bearings,1,0.0013951530876836998
staining,0,0.0
bordered,1,8.032128514056225E-4
foul,11,0.004546429639459712
sailed,38,0.030522088353413655
damaged,2,0.0
barton,0,0.0
faults,0,0.0
pomposity,0,0.0
crystallised,0,0.0
irene,0,0.0
ventured,2,2.4418167621694783E-4
bedrooms,0,0.0
metallic,1,0.0010617896344476806
copyright,14,0.0
unpapered,0,0.0
rod,15,0.01592684451671521
interesting,8,9.767267048677913E-4
register,0,0.0
swag,0,0.0
cocksure,0,0.0
romper,0,0.0
staples,0,0.0
constant,6,0.0
,1,0.0
slighted,0,0.0
trouble,11,0.0
thrusting,10,0.01865002485853303
shiny,0,0.0
delicately,1,0.0010617896344476806
conceives,1,0.0018650024858533035
minds,14,0.003620074962588814
roylott,0,0.0
earrings,0,0.0
fashioned,12,0.007103282835336928
gipsies,0,0.0
shaven,0,0.0
screaming,6,0.0024798707124325707
filthy,0,0.0
smarting,0,0.0
huffed,0,0.0
seeking,12,0.0049597414248651415
spellbound,0,0.0
stain,0,0.0
secret,24,0.0
finger,13,0.001587180895410161
read,30,0.0
number,28,0.0
mass,39,0.04140979574345955
lunatic,1,0.0013951530876836998
butler,1,2.585767830420581E-4
comely,1,8.032128514056225E-4
yawning,3,0.0031853689033430423
misgivings,3,0.00559500745755991
papers,10,0.002585767830420581
flicked,0,0.0
actor,0,0.0
mexico,3,0.00559500745755991
grieved,2,8.266235708108568E-4
allusions,7,0.007432527441133765
oscillates,1,0.0018650024858533035
ways,21,0.0
wreath,1,5.919402362780773E-4
armchairs,0,0.0
frightful,3,0.0024096385542168677
buildings,0,0.0
format,4,0.0
grounds,13,0.0033614981795467556
gravel,0,0.0
mother,18,0.004654382094757046
shading,1,0.0018650024858533035
thrilling,2,0.0027903061753673996
roared,13,0.010441767068273093
chief,38,0.0
smashed,0,0.0
hurry,9,0.0010988175429762653
ledger,0,0.0
gaslight,0,0.0
drive,20,0.0
jury,2,0.0027903061753673996
authoritative,1,0.0010617896344476806
holland,7,0.0097660716137859
unfettered,0,0.0
iodoform,0,0.0
moral,3,3.662725143254218E-4
vessel,55,0.04417670682730924
whipcord,0,0.0
intricate,3,0.0041854592630511
impressive,2,0.0027903061753673996
stock,10,0.002585767830420581
typewritist,0,0.0
petersfield,0,0.0
st,62,0.025625330695136558
doubled,0,0.0
weaver,6,0.01119001491511982
wits,1,5.919402362780773E-4
politics,0,0.0
scarlet,0,0.0
decrepit,0,0.0
tire,0,0.0
introducing,0,0.0
sturdy,0,0.0
discoloured,2,0.0021235792688953613
kissed,1,1.2209083810847392E-4
humbler,0,0.0
intrusted,0,0.0
traditions,8,0.011161224701469599
narrative,12,0.007103282835336928
newcomer,0,0.0
womanly,0,0.0
intelligent,7,0.002893182497837999
implicated,1,0.0013951530876836998
depended,2,8.266235708108568E-4
prosperous,1,0.0010617896344476806
harmonium,0,0.0
indications,3,0.00559500745755991
twinkling,1,8.032128514056225E-4
unsolved,1,0.0018650024858533035
organized,2,0.0
slit,3,0.0031853689033430423
overseen,0,0.0
ribbed,7,0.007432527441133765
network,1,0.0
find,56,0.0
professionally,0,0.0
receipts,0,0.0
schools,9,0.007228915662650603
favourable,1,5.919402362780773E-4
aloysius,0,0.0
heading,10,0.01865002485853303
business,70,0.0
wild,84,0.010255630401111809
monotony,0,0.0
tooth,8,0.008494317075581445
backgammon,0,0.0
announce,0,0.0
losing,4,0.0010343071321682325
liberties,1,8.032128514056225E-4
resemblance,6,0.0024798707124325707
creditor,1,0.0018650024858533035
nurse,3,0.001775820708834232
cracked,7,0.005622489959839358
support,5,0.0
produce,6,0.0
speckled,1,0.0018650024858533035
tollers,0,0.0
picking,4,0.002367760945112309
darting,14,0.011244979919678716
services,0,0.0
conundrums,0,0.0
school,10,0.001220908381084739
emigrant,1,0.0018650024858533035
referred,4,0.005580612350734799
tout,0,0.0
sable,4,0.007460009943413214
conditions,0,0.0
knowing,16,0.0019534534097355827
false,7,0.001810037481294407
soldier,1,8.032128514056225E-4
standing,82,0.0
chuckling,0,0.0
weight,17,0.004395805311714988
geese,1,0.0013951530876836998
nonproprietary,1,0.0
june,2,5.171535660841162E-4
alley,1,0.0013951530876836998
bald,3,0.0041854592630511
question,29,0.0035406343051457437
colonies,3,0.0041854592630511
pall,2,0.001606425702811245
monarch,1,0.0013951530876836998
fashionable,0,0.0
art,41,0.016945783201622565
duty,25,0.003052270952711848
recommend,0,0.0
fourth,13,0.001587180895410161
span,1,0.0013951530876836998
satisfy,3,7.757303491261745E-4
hotels,1,0.0013951530876836998
involved,9,0.0037198060686488557
dealings,0,0.0
consult,1,5.919402362780773E-4
lounged,2,0.0027903061753673996
creature,42,0.005127815200555904
posterior,0,0.0
sections,1,0.0
heaving,15,0.0209272963152555
assizes,0,0.0
persistence,0,0.0
community,1,0.0010617896344476806
chances,8,0.00642570281124498
agitation,0,0.0
tricks,3,7.757303491261745E-4
construction,1,0.0010617896344476806
shop,4,0.0010343071321682325
fits,7,0.002893182497837999
superb,3,0.0041854592630511
pedestrians,1,0.0018650024858533035
dishonoured,0,0.0
method,4,0.0
preventing,0,0.0
welcomed,0,0.0
impatiently,3,0.001775820708834232
compositor,0,0.0
post,22,0.005688689226925278
splendidly,0,0.0
scream,1,5.919402362780773E-4
directors,0,0.0
test,4,0.0016532471416217135
stairs,10,0.001220908381084739
abrupt,0,0.0
tassel,0,0.0
outr,0,0.0
pointing,19,0.0023197259240610047
relative,2,0.001606425702811245
meshes,0,0.0
works,64,0.0
12,2,0.0011838804725561546
parapet,0,0.0
absorbed,4,0.0042471585377907226
worms,0,0.0
pglaf,8,0.0
notifies,1,0.0
shadow,15,0.00887910354417116
horrible,15,0.003878651745630872
author,9,0.0
mood,10,0.005919402362780772
feel,57,0.0
satisfaction,4,0.002367760945112309
hereditary,7,0.0097660716137859
unfailingly,0,0.0
grate,0,0.0
hastened,0,0.0
harvest,4,0.00321285140562249
harley,0,0.0
fate,16,0.00413722852867293
organisation,0,0.0
wreck,13,0.010441767068273093
intrusion,0,0.0
journeyed,0,0.0
working,15,0.006199676781081426
adding,3,0.001775820708834232
disentangled,0,0.0
spirits,10,0.004133117854054283
people,49,0.0
justified,2,0.0011838804725561546
electric,1,0.0010617896344476806
erred,0,0.0
conveniently,1,8.032128514056225E-4
grind,0,0.0
gutenberg,94,0.0
disturbing,2,0.001606425702811245
vanish,1,8.032128514056225E-4
precisely,27,0.028668320130087376
lipped,2,0.0027903061753673996
locus,0,0.0
outer,20,0.02123579268895361
registry,0,0.0
darlington,0,0.0
assuring,1,8.032128514056225E-4
transverse,0,0.0
outsides,0,0.0
calamity,2,0.0021235792688953613
paint,7,0.002893182497837999
synonymous,1,0.0
asleep,6,0.001551460698252349
laying,6,0.001551460698252349
reach,14,0.001709271733518635
lieu,4,0.0
wooded,1,0.0018650024858533035
begin,12,0.0
presently,19,0.0049129588777991045
petrarch,0,0.0
drowsiness,1,0.0018650024858533035
harrow,0,0.0
punctures,1,0.0013951530876836998
children,18,0.0
apprenticed,0,0.0
politicians,0,0.0
series,4,0.002367760945112309
lloyd,0,0.0
newspaper,2,0.0011838804725561546
due,6,0.0024798707124325707
chronicler,2,0.003730004971706607
89,2,0.0027903061753673996
brassy,0,0.0
proposed,3,0.0012399353562162854
cousins,0,0.0
lead,18,0.0021976350859525305
harmony,1,5.919402362780773E-4
eastward,10,0.008032128514056224
tiptoes,0,0.0
visits,4,0.002367760945112309
managed,1,2.585767830420581E-4
hullo,0,0.0
murky,2,0.0027903061753673996
portion,4,0.00321285140562249
tunnels,1,0.0018650024858533035
severn,0,0.0
appeals,2,0.0021235792688953613
disc,0,0.0
chased,14,0.0195321432275718
win,0,0.0
gainer,0,0.0
city,15,0.0
slut,0,0.0
eager,13,0.0033614981795467556
fabrication,0,0.0
accuser,0,0.0
circulation,1,0.0010617896344476806
penny,4,0.002367760945112309
production,2,0.0
fail,17,0.004395805311714988
recollect,1,5.919402362780773E-4
serpentine,1,0.0013951530876836998
payments,3,0.0
inadequate,0,0.0
deception,2,0.001606425702811245
stages,4,0.005580612350734799
insight,0,0.0
defeated,0,0.0
ended,7,0.001810037481294407
impressed,3,0.001775820708834232
body,110,0.013429992191932132
random,5,0.005308948172238402
residing,1,0.0010617896344476806
benevolent,5,0.005308948172238402
reared,0,0.0
stage,10,0.005919402362780772
spread,26,0.0
lascar,1,0.0018650024858533035
murder,10,0.004133117854054283
acres,3,0.0031853689033430423
84,2,0.0027903061753673996
southern,12,0.01274147561337217
tragedy,3,0.0024096385542168677
gradually,10,0.002585767830420581
prove,13,0.0
partially,4,0.0042471585377907226
refined,0,0.0
successfully,4,0.002367760945112309
parties,5,0.0020665589270271417
operations,3,0.0031853689033430423
bye,13,0.0033614981795467556
years,97,0.0
window,16,0.0
court,2,0.0
layers,3,0.0041854592630511
young,80,0.0
scoundrel,1,5.919402362780773E-4
broadened,0,0.0
notion,4,0.002367760945112309
vagueness,1,0.0018650024858533035
gold,40,0.010343071321682324
rid,4,4.883633524338957E-4
8,7,0.0
verify,0,0.0
area,4,0.005580612350734799
expense,6,0.0
twenty,34,0.0
screening,0,0.0
registered,2,0.0
noblest,3,0.001775820708834232
huge,30,0.024096385542168676
tells,8,0.002068614264336465
abjure,0,0.0
purity,0,0.0
sounds,12,0.001465090057301687
exquisite,0,0.0
fuss,2,0.001606425702811245
disguise,1,2.585767830420581E-4
grace,8,0.003306494283243427
afghan,0,0.0
archie,0,0.0
weaker,1,8.032128514056225E-4
mere,42,0.017359094987027993
grimly,4,0.0042471585377907226
paul,4,0.005580612350734799
endeavoured,0,0.0
chivalrous,1,0.0013951530876836998
unfinished,1,0.0013951530876836998
perplexed,0,0.0
wight,5,0.009325012429266515
redistribution,2,0.0
count,3,0.001775820708834232
peep,8,0.00642570281124498
frighten,2,5.171535660841162E-4
committed,2,0.0
slitting,0,0.0
hatty,0,0.0
madly,4,0.0042471585377907226
heelless,0,0.0
10th,0,0.0
door,45,0.0
await,1,8.032128514056225E-4
loudly,7,0.0
strict,5,0.0
death,90,0.0
plainly,39,0.01611915963081171
till,123,0.0
lives,22,0.0
giant,2,0.0021235792688953613
evenings,0,0.0
hoofs,3,0.0024096385542168677
belt,5,0.005308948172238402
underneath,3,0.001775820708834232
wearing,4,0.00321285140562249
move,9,0.0
fancier,0,0.0
coolness,2,0.0021235792688953613
regard,9,0.0037198060686488557
harmless,7,0.0
shattered,6,0.006370737806686085
indirect,3,0.0
confronted,1,0.0018650024858533035
margin,6,0.006370737806686085
deadliest,3,0.0041854592630511
seedy,0,0.0
disreputable,1,0.0010617896344476806
stuffs,0,0.0
disfigured,0,0.0
shuffled,0,0.0
poultry,0,0.0
slapped,1,0.0013951530876836998
hurt,2,0.0
momentary,2,5.171535660841162E-4
ned,0,0.0
pocket,12,0.0
subtle,11,0.011679685978924485
fuller,3,0.0031853689033430423
501,2,0.0
speckles,0,0.0
guinea,5,0.002959701181390386
women,11,0.002844344613462639
remarkable,13,0.0033614981795467556
taste,11,0.0
exceptionally,0,0.0
strode,0,0.0
sand,11,0.008835341365461847
embellish,0,0.0
smoke,30,0.003662725143254218
provided,10,0.0
mortgage,0,0.0
tennessee,1,0.0018650024858533035
shilling,1,0.0010617896344476806
plate,8,0.002068614264336465
fairbank,0,0.0
strengthen,0,0.0
masked,2,0.0027903061753673996
ponderous,13,0.0181369901398881
based,5,0.0
fitted,12,0.003102921396504698
noiseless,7,0.013055017400973125
reverie,3,0.0024096385542168677
crack,10,0.008032128514056224
cart,1,2.585767830420581E-4
stepfather,0,0.0
discretion,2,0.001606425702811245
regulating,2,0.0
coolest,0,0.0
mastery,1,0.0013951530876836998
professional,5,0.002959701181390386
defect,3,0.0
aright,5,0.005308948172238402
cook,55,0.014221723067313197
infinitely,4,0.0016532471416217135
talker,0,0.0
bisulphate,0,0.0
dream,10,0.001220908381084739
wives,5,0.002959701181390386
hansom,0,0.0
brownish,0,0.0
encircled,0,0.0
nouement,0,0.0
vanished,3,0.0012399353562162854
windigate,0,0.0
learned,25,0.0
henry,3,0.0024096385542168677
languid,1,5.919402362780773E-4
needed,7,0.001810037481294407
cargo,3,0.0041854592630511
neck,17,0.010062984016727314
akimbo,0,0.0
miners,0,0.0
answering,0,0.0
lengthen,1,0.0018650024858533035
convulsion,0,0.0
expressed,5,0.0012928839152102905
heard,110,0.0
slam,0,0.0
lay,78,0.0
leatherhead,0,0.0
boone,1,0.0018650024858533035
delay,3,3.662725143254218E-4
slip,4,0.0042471585377907226
purses,0,0.0
depressing,0,0.0
daughter,2,2.4418167621694783E-4
unforeseen,0,0.0
complexion,6,0.004819277108433735
surrounds,2,0.003730004971706607
weigh,5,0.005308948172238402
internal,6,0.0
accustomed,5,6.104541905423695E-4
topped,0,0.0
copying,5,0.0
commissionaire,0,0.0
reported,5,0.0
acquitted,0,0.0
porter,1,0.0013951530876836998
literary,13,0.0
ordnance,0,0.0
apparition,9,0.01678502237267973
feeling,28,0.0
juryman,0,0.0
induce,5,0.0012928839152102905
uncarpeted,0,0.0
passenger,6,0.006370737806686085
warmed,1,5.919402362780773E-4
bodes,0,0.0
cigarettes,0,0.0
conclusions,0,0.0
hydraulic,0,0.0
francis,0,0.0
remunerative,1,0.0018650024858533035
suspicious,4,0.0016532471416217135
briar,0,0.0
richer,2,0.001606425702811245
fierce,11,0.008835341365461847
fair,34,0.0
electronically,2,0.0
manner,37,0.0
employers,0,0.0
offered,12,0.003102921396504698
introduction,1,5.919402362780773E-4
chanced,13,0.007695223071615005
dried,8,0.008494317075581445
point,73,0.008912631181918597
regret,0,0.0
cocktail,0,0.0
swain,1,0.0018650024858533035
sidelong,7,0.0097660716137859
temples,2,0.0021235792688953613
success,5,0.0012928839152102905
choose,6,0.0
bottles,2,0.001606425702811245
readers,0,0.0
hunted,19,0.015261044176706828
worry,0,0.0
luxurious,2,0.0021235792688953613
awkward,0,0.0
arthur,0,0.0
possibly,30,0.0
vex,0,0.0
sheep,5,0.0012928839152102905
apparently,9,0.005327462126502695
vague,10,0.005919402362780772
firmly,12,0.007103282835336928
sparkles,0,0.0
communication,1,5.919402362780773E-4
thudding,0,0.0
presume,4,0.002367760945112309
cloudless,1,0.0010617896344476806
crisis,3,0.0024096385542168677
groom,1,0.0010617896344476806
trumpet,7,0.005622489959839358
source,5,0.004016064257028112
learn,9,0.0
shooting,8,0.00642570281124498
binding,1,0.0010617896344476806
keener,1,0.0013951530876836998
manifold,3,0.0031853689033430423
ashen,0,0.0
luncheon,0,0.0
unseat,0,0.0
fatigued,0,0.0
secured,15,0.012048192771084338
represent,2,0.001606425702811245
clinked,0,0.0
cupboard,0,0.0
tinted,0,0.0
foliage,0,0.0
cudgelled,0,0.0
caused,12,0.001465090057301687
scraping,5,0.006975765438418499
belonged,13,0.007695223071615005
faster,4,0.0016532471416217135
positively,1,4.133117854054284E-4
absence,5,0.0
erect,14,0.0195321432275718
betraying,0,0.0
magnificent,2,0.0011838804725561546
bundle,2,0.0021235792688953613
atlantic,19,0.03543504723121276
particulars,9,0.0037198060686488557
wait,7,0.0
task,10,0.008032128514056224
lassitude,1,0.0018650024858533035
uffa,0,0.0
nights,11,0.006511342599058849
yonder,18,0.025112755578306598
episodes,0,0.0
tattered,1,0.0010617896344476806
irresistible,5,0.002959701181390386
blanched,1,0.0018650024858533035
symptoms,6,0.003551641417668464
persuasions,1,0.0010617896344476806
cocked,1,0.0018650024858533035
claim,7,0.0
preach,4,0.005580612350734799
unimportant,0,0.0
founder,2,0.0027903061753673996
keeper,1,0.0010617896344476806
pays,3,0.001775820708834232
tangible,0,0.0
require,5,0.0
curly,1,8.032128514056225E-4
headings,0,0.0
opera,1,8.032128514056225E-4
rifts,0,0.0
god,153,0.039562247805434894
officers,20,0.008266235708108567
stones,3,0.0024096385542168677
companies,6,0.0083709185261022
exhibited,3,0.0041854592630511
clambered,0,0.0
rectify,0,0.0
directed,6,0.0024798707124325707
stupidity,0,0.0
agree,11,0.0
sly,1,8.032128514056225E-4
constables,0,0.0
hobbies,0,0.0
attempts,4,0.002367760945112309
peaked,3,0.00559500745755991
tie,1,4.133117854054284E-4
manage,2,5.171535660841162E-4
pritchard,0,0.0
imploring,0,0.0
lodge,3,0.0031853689033430423
excuses,0,0.0
feature,5,0.002959701181390386
prefers,2,0.0027903061753673996
estate,1,4.133117854054284E-4
accept,2,0.0
loop,1,0.0013951530876836998
hanover,0,0.0
meddle,2,0.0021235792688953613
tomfoolery,0,0.0
spaulding,0,0.0
arrows,2,0.0027903061753673996
wearer,1,0.0010617896344476806
analytical,0,0.0
dust,10,0.005919402362780772
turf,0,0.0
pavement,1,8.032128514056225E-4
baleful,1,0.0013951530876836998
pirates,11,0.015346683964520698
force,12,0.003102921396504698
crystals,2,0.0021235792688953613
sole,9,0.002327191047378523
maiden,0,0.0
amethyst,0,0.0
wilhelm,0,0.0
refused,4,0.0
depression,2,0.001606425702811245
realised,0,0.0
limps,0,0.0
nipper,1,0.0018650024858533035
built,8,0.002068614264336465
carriage,3,3.662725143254218E-4
madman,3,0.0024096385542168677
mouthed,5,0.006975765438418499
applicant,0,0.0
refuse,6,0.001551460698252349
peering,8,0.004735521890224618
scared,2,0.0021235792688953613
equally,8,0.002068614264336465
reserve,1,8.032128514056225E-4
managing,1,0.0010617896344476806
nicely,2,5.171535660841162E-4
conversation,5,6.104541905423695E-4
finer,1,8.032128514056225E-4
hungry,2,5.171535660841162E-4
manageress,0,0.0
strain,12,0.00963855421686747
dirty,2,0.0011838804725561546
flecked,0,0.0
fidelity,4,0.005580612350734799
hyde,0,0.0
slow,12,0.007103282835336928
sends,1,2.585767830420581E-4
villas,0,0.0
caltrops,0,0.0
strenuously,0,0.0
glowing,4,0.00321285140562249
performances,4,0.0
houses,9,0.0
hearty,8,0.003306494283243427
repute,1,0.0013951530876836998
ghost,13,0.010441767068273093
touching,46,0.027229250868791556
makes,40,0.0
100,4,0.007460009943413214
throwing,11,0.001342999219193213
exporting,1,0.0
foresaw,0,0.0
attentions,0,0.0
moon,9,0.002327191047378523
nut,5,0.004016064257028112
customary,14,0.011244979919678716
plunging,6,0.0083709185261022
intimacy,1,5.919402362780773E-4
step,22,0.005688689226925278
eighteen,7,0.005622489959839358
middlesex,0,0.0
foreigner,0,0.0
solitude,3,7.757303491261745E-4
leaves,19,0.0023197259240610047
signet,0,0.0
replace,2,0.0
artificial,5,0.002959701181390386
thickly,5,0.004016064257028112
breathed,2,0.0011838804725561546
drawled,1,0.0018650024858533035
hardy,9,0.007228915662650603
unwound,1,0.0013951530876836998
doran,0,0.0
evolve,0,0.0
ostrich,1,0.0018650024858533035
drawn,26,0.003174361790820322
damp,9,0.0037198060686488557
brass,3,0.001775820708834232
knee,8,0.003306494283243427
effort,5,0.0
hungrily,0,0.0
purple,6,7.325450286508436E-4
continually,17,0.007026300351892283
india,5,0.005308948172238402
bicycling,0,0.0
needle,12,0.0167418370522044
borrowed,3,0.0012399353562162854
show,32,0.0
plays,2,8.266235708108568E-4
horrors,5,0.002959701181390386
hung,30,0.007757303491261744
additions,1,0.0
circumstantial,2,0.003730004971706607
soothed,4,0.00321285140562249
hugh,0,0.0
speedy,5,0.005308948172238402
oxford,0,0.0
prices,2,0.003730004971706607
unpleasant,3,0.001775820708834232
nominal,2,0.0027903061753673996
lingering,8,0.004735521890224618
reputation,4,0.0016532471416217135
calling,12,0.001465090057301687
scattered,10,0.0
neat,3,0.0012399353562162854
nez,0,0.0
safely,5,0.002959701181390386
lips,17,0.0
stars,14,0.008287163307893083
deductive,0,0.0
pressure,4,0.00321285140562249
weaken,0,0.0
refers,0,0.0
socket,7,0.0097660716137859
backwater,0,0.0
request,4,0.0
profoundly,3,0.00559500745755991
masculine,1,0.0018650024858533035
timbered,0,0.0
fewer,1,2.585767830420581E-4
melbourne,0,0.0
typewrite,0,0.0
beggary,0,0.0
introspect,0,0.0
memoir,0,0.0
bit,28,0.00341854346703727
proportion,3,0.001775820708834232
raved,1,0.0010617896344476806
french,22,0.002685998438386426
spinster,0,0.0
useless,6,0.0024798707124325707
foolscap,0,0.0
chink,0,0.0
exercising,0,0.0
fortunes,3,0.0031853689033430423
sharpened,1,5.919402362780773E-4
flushing,0,0.0
threatened,4,0.0016532471416217135
waistcoat,2,0.0011838804725561546
empty,22,0.0
abandoned,7,0.007432527441133765
padlocked,0,0.0
market,6,0.001551460698252349
sits,5,0.0012928839152102905
bodies,9,0.005327462126502695
landlord,34,0.027309236947791166
subject,21,0.0
hard,84,0.0
rake,2,0.0027903061753673996
trace,5,0.002959701181390386
4,9,0.0
