Word,Count,TF.IDF
incident,0,0.0
sinister,0,0.0
comply,9,0.0
breaks,0,0.0
forgotten,12,0.0
precious,2,8.191554577286574E-4
compliment,26,0.024377996753589516
unkempt,0,0.0
lover,5,9.669407979965014E-4
plentiful,1,0.001272264631043257
malignant,0,0.0
terrible,0,0.0
rate,5,9.669407979965014E-4
mole,0,0.0
assert,5,0.004688076298767215
lights,0,0.0
rage,2,0.0018752305195068862
submitted,1,0.001272264631043257
ferret,0,0.0
snow,0,0.0
headache,2,0.002544529262086514
purchasing,0,0.0
termination,2,0.002544529262086514
remarked,1,4.095777288643287E-4
germans,0,0.0
laughing,11,0.004505355017507616
michael,2,0.0
darkened,0,0.0
relapsed,0,0.0
est,0,0.0
alpha,0,0.0
quitted,9,0.015136581239168272
4th,0,0.0
irs,1,0.0
california,0,0.0
implored,0,0.0
snapped,0,0.0
bandy,0,0.0
litter,0,0.0
jeremiah,0,0.0
scribbled,0,0.0
blurs,0,0.0
outhouse,0,0.0
wiser,1,9.376152597534431E-4
rouse,0,0.0
accident,6,0.0011603289575958017
plumped,0,0.0
muscles,0,0.0
locations,2,0.0
beneath,5,0.003273366239375053
premises,1,0.0022098798907967004
ideas,13,0.008510752222375137
marshy,0,0.0
silk,0,0.0
speciously,0,0.0
biography,0,0.0
sweet,7,0.0
interposed,0,0.0
attica,0,0.0
eye,15,0.0029008223939895046
predominates,0,0.0
striking,3,0.001964019743625032
simon,0,0.0
indication,0,0.0
wreaths,0,0.0
prolong,0,0.0
glint,0,0.0
allowed,26,0.010649020950472545
reference,2,0.002544529262086514
villages,0,0.0
impressions,0,0.0
stables,1,0.001272264631043257
secretary,0,0.0
unobserved,0,0.0
vivid,0,0.0
researches,0,0.0
penal,0,0.0
diadem,0,0.0
claspings,0,0.0
straining,0,0.0
swarm,0,0.0
booted,0,0.0
typewriter,0,0.0
shelves,1,9.376152597534431E-4
beautiful,15,0.0
silvered,0,0.0
providing,5,0.0
sunday,9,0.0017404934363937027
altogether,8,0.0015471052767944025
writing,16,0.0
believing,12,0.015267175572519083
lasting,2,0.003363684719815172
baxter,0,0.0
reabsorbed,0,0.0
funny,0,0.0
complying,6,0.0
orgies,0,0.0
meningen,0,0.0
unreasoning,0,0.0
foie,0,0.0
fashion,7,0.001353717117195102
blotched,0,0.0
planted,0,0.0
alteration,8,0.0
fordham,0,0.0
conviction,16,0.026909477758521375
monogram,0,0.0
